@relation 'hotel_reviews'
@attribute text string
@attribute class {neg, pos}
@data

'vocês são o melhor ', pos

'foi muito grato trabalhar com voces ', pos

'realizei o aniversario de meu sobrinho na terca fiz, a locacão da mesa decorada do tema toy store desde o inicio foram bem atenciosos/n desde o contato telefonico esclarecendo duvidas na montagem e desmontagem da mesa a equipe foi bem discreta, e claro a mesa estava muito linda todos adoraram com certeza indico essa empresa equipe esta de parabens ', pos

'gostei muito do atendimento personalizado/n ', pos 

'grande hotel com otimas acomodacoes, a beira da praia Sensacional piscina, e com otimos restaurantes/n ainda que os preços nao sejam os mais convidativos ', pos 

'Destaque para a hidromassagem superaquecida e o atendimento ', pos 

'Espetacular, Super Confortavel e Moderno Muito bom hotel quartos de bom tamanho, varias comodidades boas opcoes de restaurantes ', pos

'gostei muito, a decoracão de Natal esta linda atendimento excelente, chegamos bem antes do horario e não tivemos problema ', pos 

'nossa, sem palavras, atendimento quarto limpeza localizacao Quer umas ferias inesqueciveis fique aqui ', pos

'Muito bom hotel, quartos de bom tamanho, varias comodidades, boas opcoes de restaurantes ', pos 

'O ambiente é sofisticado porém não ostensivo, que particularmente me agradam ', pos 

'Recomendado se pretende ficar em um excelente hotel, muito conforto ', pos

'Achei o resort excelente, Ele tem uma ótima localização, na beira do mar e com uma piscina deliciosa ', pos

'Possui excelentes restaurantes e um café da manhã com muitas opções' ,pos 

'Ele tem uma ótima localização ', pos

'Resort esplendoroso, Atendimento extremamente cordial, Restaurantes maravilhosos ', pos

'Recomendo este hotel em Cancun pelas instalações ', pos

'Excelente hotel, otimo custo beneficio. otima localização ', pos 

'Tivemos excelente estadia, quarto com vista para mar. Café da manhã incrível ', pos 

'Foi ótimo o período que passei ', pos 

'Esse resort é simplesmente perfeito ', pos 

'O café da manhã foi o melhor que já comi na vida ',pos 

'O hotel é maravilhoso, todo decorado com mármore, e imponentes lustres, contrastando com a linda praia em frente ao hotel ',pos

'Excelente,perfeitas as acomodações extremamente confortáveis,muito bom os serviços ', pos 

'minha experiência, foi maravilhosa. Hotel luxuoso, perfeito para famílias e convençoes, o quarto super limpo e organizado ',pos

'Minhas ferias en cancun foram otimas. Gostei muito do hotel, belos apartamentos, bom serviço, limpeza e bom ambiente ', pos 

'O cafe e extraordinário, muita variedade e saboroso ',pos 

'Para os apaixonados, o Hotel oferece recantos silenciosos e românticos frente ao mar ',pos 

'comida deliciosa,o custo nem é tao alto assim ',pos

'Muito bom hotel, apartamento amplo, confortável, limpo e com um visual incrível ',pos 

'Instalações limpas e bem conservadas. Bem localizado ',pos 

'Na minha opiniao e o melhor hotel ',pos

'Cafe da manha o mais completo que ja vi em minha vida ',pos

'Quartos limpissimos e espacosos ',pos 

